"interaction_type","consumer_species","consumer_metab","consumer_mass","resource_species","resource_metab","resource_mass"
"predacious","Yellowtail",true,82040.3,"Goby",true,18.6
"predacious","Yellowtail",true,82040.3,"Other pelagics",true,2554.85
"predacious","Yellowtail",true,82040.3,"Horse mackerel",true,5104.9
"predacious","Yellowtail",true,82040.3,"Chub mackerel",true,3259.5
"predacious","Yellowtail",true,82040.3,"Other groundfish",true,13127
"predacious","Yellowtail",true,82040.3,"Squid",false,40
"predacious","Yellowtail",true,82040.3,"Macrozooplankton",false,1
"predacious","Yellowtail",true,82040.3,"Anchovy",true,11.5
"predacious","Geelbek",true,26127.38,"Pilchard",true,280
"predacious","Geelbek",true,26127.38,"Round herring",true,215.2
"predacious","Geelbek",true,26127.38,"Goby",true,18.6
"predacious","Geelbek",true,26127.38,"Other pelagics",true,2554.85
"predacious","Geelbek",true,26127.38,"Horse mackerel",true,5104.9
"predacious","Geelbek",true,26127.38,"Other groundfish",true,13127
"predacious","Geelbek",true,26127.38,"Hakes",true,22994.5
"predacious","Geelbek",true,26127.38,"Squid",false,40
"predacious","Geelbek",true,26127.38,"Benthic carnivores",false,10
"predacious","Geelbek",true,26127.38,"Anchovy",true,11.5
"predacious","Whales & Dolphins",true,82000,"Pilchard",true,280
"predacious","Whales & Dolphins",true,82000,"Round herring",true,215.2
"predacious","Whales & Dolphins",true,82000,"Lanternfish",true,6.9
"predacious","Whales & Dolphins",true,82000,"Goby",true,18.6
"predacious","Whales & Dolphins",true,82000,"Other pelagics",true,2554.85
"predacious","Whales & Dolphins",true,82000,"Horse mackerel",true,5104.9
"predacious","Whales & Dolphins",true,82000,"Hakes",true,22994.5
"predacious","Whales & Dolphins",true,82000,"Squid",false,40
"predacious","Whales & Dolphins",true,82000,"Macrozooplankton",false,1
"predacious","Whales & Dolphins",true,82000,"Anchovy",true,11.5
"predacious","Birds",true,2287,"Pilchard",true,280
"predacious","Birds",true,2287,"Round herring",true,215.2
"predacious","Birds",true,2287,"Lightfish",true,4.8
